CohortMonth,CohortIndex,UserID,CohortSize,RetentionRate
2015-05-01,1,56,56,1.0
2015-05-01,2,53,56,0.9464285714285714
2015-05-01,3,49,56,0.875
2015-05-01,4,44,56,0.7857142857142857
2015-05-01,5,41,56,0.7321428571428571
2015-05-01,6,37,56,0.6607142857142857
2015-05-01,7,42,56,0.75
2015-05-01,8,36,56,0.6428571428571429
2015-05-01,9,38,56,0.6785714285714286
2015-05-01,10,33,56,0.5892857142857143
2015-05-01,11,35,56,0.625
2015-05-01,12,31,56,0.5535714285714286
2015-05-01,13,32,56,0.5714285714285714
2015-05-01,14,33,56,0.5892857142857143
2015-05-01,15,28,56,0.5
2015-05-01,16,23,56,0.4107142857142857
2015-05-01,17,25,56,0.44642857142857145
2015-05-01,18,26,56,0.4642857142857143
2015-06-01,1,4273,4273,1.0
2015-06-01,2,3122,4273,0.7306342148373508
2015-06-01,3,2761,4273,0.646150245728996
2015-06-01,4,2437,4273,0.5703252983852094
2015-06-01,5,2300,4273,0.5382635150947812
2015-06-01,6,2179,4273,0.5099461736484905
2015-06-01,7,1989,4273,0.4654809267493564
2015-06-01,8,2296,4273,0.5373274046337467
2015-06-01,9,2118,4273,0.4956704891177159
2015-06-01,10,2012,4273,0.47086356190030426
2015-06-01,11,2020,4273,0.47273578282237305
2015-06-01,12,2050,4273,0.47975661128013103
2015-06-01,13,1995,4273,0.46688509244090803
2015-06-01,14,2022,4273,0.47320383805289024
2015-06-01,15,1881,4273,0.44020594430142757
2015-06-01,16,1753,4273,0.4102504095483267
2015-06-01,17,1698,4273,0.39737889070910365
2015-07-01,1,1483,1483,1.0
2015-07-01,2,706,1483,0.476062036412677
2015-07-01,3,600,1483,0.4045853000674309
2015-07-01,4,524,1483,0.3533378287255563
2015-07-01,5,538,1483,0.36277815239379635
2015-07-01,6,446,1483,0.3007417397167903
2015-07-01,7,584,1483,0.3937963587322994
2015-07-01,8,509,1483,0.34322319622387054
2015-07-01,9,456,1483,0.3074848280512475
2015-07-01,10,462,1483,0.3115306810519218
2015-07-01,11,489,1483,0.32973701955495616
2015-07-01,12,454,1483,0.306136210384356
2015-07-01,13,487,1483,0.32838840188806473
2015-07-01,14,457,1483,0.3081591368846932
2015-07-01,15,376,1483,0.25354012137559
2015-07-01,16,374,1483,0.2521915037086986
2015-08-01,1,668,668,1.0
2015-08-01,2,241,668,0.36077844311377244
2015-08-01,3,216,668,0.32335329341317365
2015-08-01,4,190,668,0.2844311377245509
2015-08-01,5,162,668,0.24251497005988024
2015-08-01,6,224,668,0.33532934131736525
2015-08-01,7,211,668,0.3158682634730539
2015-08-01,8,175,668,0.2619760479041916
2015-08-01,9,186,668,0.27844311377245506
2015-08-01,10,200,668,0.2994011976047904
2015-08-01,11,180,668,0.2694610778443114
2015-08-01,12,187,668,0.27994011976047906
2015-08-01,13,176,668,0.2634730538922156
2015-08-01,14,153,668,0.22904191616766467
2015-08-01,15,157,668,0.23502994011976047
2015-09-01,1,466,466,1.0
2015-09-01,2,176,466,0.3776824034334764
2015-09-01,3,157,466,0.3369098712446352
2015-09-01,4,133,466,0.2854077253218884
2015-09-01,5,157,466,0.3369098712446352
2015-09-01,6,146,466,0.3133047210300429
2015-09-01,7,116,466,0.24892703862660945
2015-09-01,8,123,466,0.26394849785407726
2015-09-01,9,115,466,0.24678111587982832
2015-09-01,10,109,466,0.23390557939914164
2015-09-01,11,121,466,0.259656652360515
2015-09-01,12,107,466,0.2296137339055794
